name,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015,01/01/2016,01/01/2017,01/01/2018,01/01/2019,01/01/2020
Karwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,7,3,3,4,4
Silk Road,42,50,100,76,57,46,36,45,55,98,70,63,50,53,48,48,42,43,42,42,42
The Undeclared War,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
isPartial.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Greatland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Hillbilly,3,3,4,3,3,3,4,4,4,4,3,4,4,4,3,3,5,4,3,2,7
Jutro ce promeniti sve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marionette,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2
Hacker,100,87,67,58,58,56,53,51,49,46,49,51,47,40,33,35,40,37,41,33,30
isPartial.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Un mundo normal,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
Zero KMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dear Comrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,64,26,17,14,13
Mr. Iglesias,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,1,1,0
Netflix vs. the World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sueño Florianópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sipur acher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Satanic Panic,5,4,4,3,3,8,5,3,2,2,2,2,3,3,4,15,16,13,15,13,12
Sorkhpoost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dil Hi Toh Hai,0,0,0,0,0,0,1,2,2,2,4,3,4,5,100,46,32,18,12,19,9
isPartial.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"April, May en June",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watergate,93,100,70,59,62,60,47,43,47,48,44,45,43,52,49,44,36,31,41,34,33
Histórias que nosso Cinema (não) Contava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Material,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
Kuasha Jakhon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Rose Plays Julie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1
Dnyukha!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rustum,8,8,8,10,7,7,7,7,7,6,8,7,100,25,10,21,16,9,10,12,11
Muklawa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,88,17,7,5,4,3
The Last Rite,0,1,1,1,1,2,2,11,3,3,2,2,2,2,2,2,2,6,10,5,5
isPartial.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Giraffe,27,29,30,30,32,31,34,39,41,55,44,41,37,100,40,42,40,34,32,33,33
Shrill,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,2,1,1
Widow of Silence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flat No. 609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotwired in Suburbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
No Such Thing as Monsters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excursion,100,84,76,74,74,72,68,69,66,74,78,83,81,89,94,96,62,67,81,89,91
Refúgio 2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unplanned,7,7,6,5,5,5,7,7,7,8,8,8,8,9,9,57,14,11,11,12,13
Notzilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Rise of the Warrior Apes,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1,1,1,1,1,1,1
Gakkô-gurashi!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyakuren no Haou to Seiyaku no Valkyria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51,14,18,11,7,5,4
O Último Banho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
O Escolhido,6,9,9,16,18,25,34,31,41,46,59,49,52,50,54,69,99,99,100,81,74
isPartial.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Beast Must Die,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Haunted,100,92,84,80,76,77,73,79,74,82,84,76,70,67,70,66,54,60,55,65,41
Hoops,18,22,25,23,24,21,19,19,20,18,16,16,14,15,18,17,17,18,16,17,18
Girl/Girl Scene - The Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Reason I Jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Gaikotsu Shotenin Honda-san,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,33,24,15,22,10,12
Konttho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,26,5,5,3,3
I Am Patrick: The Patron Saint of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0
I Am Richard Pryor,0,0,0,0,0,0,4,4,3,3,3,3,2,2,3,23,8,7,4,4,5
Killer Under the Bed,0,0,0,0,0,0,0,3,3,8,9,9,7,5,29,39,12,100,83,62,79
isPartial.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
You're Not a Monster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Code 404,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,3,2,2,2,2
Skyggen i mit øje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trick,100,89,84,80,80,80,91,87,92,93,95,94,85,81,75,72,67,64,71,68,57
Just Roll with It,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Three Thousand Years of Longing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,55,58
Accidental Texan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Frayed,33,35,31,27,26,40,42,46,43,47,46,44,54,73,68,77,71,75,68,64,71
Elon Musk: The Real Life Iron Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toubab,4,9,14,14,14,15,14,12,10,8,6,5,5,5,5,8,4,6,7,8,6
isPartial.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Tanguy, le retour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bigil,0,0,0,0,0,0,0,0,1,1,3,4,5,4,2,100,33,14,14,12,9
Uncorked,2,2,3,3,3,3,5,8,7,6,6,6,5,5,5,4,8,5,4,4,4
La nuit venue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storm på Lugna gatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
isPartial.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bozkir,10,14,20,23,22,19,13,11,10,9,13,14,16,15,15,17,23,40,22,28,19
Through Night and Day,7,9,9,8,8,12,8,7,7,7,7,7,10,11,14,16,100,33,32,32,33
Soldier's Heart,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,5,75,6,6,5,5
Pushpa: The Rise - Part 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
Dokyala Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
isPartial.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Armstrong,100,84,55,42,42,46,42,39,52,41,31,31,28,27,28,30,26,24,23,22,25
Delhi Crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Freies Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Where the Crawdads Sing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,3,2
Cartel Crew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
isPartial.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Under the Volcano,12,9,8,8,8,8,8,6,6,6,7,6,5,5,5,5,5,7,8,6,6
DC Super Hero Girls,0,0,0,0,0,0,0,0,0,0,0,1,9,10,9,12,22,19,12,9,8
Mayabazaar 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pati Patni Aur Woh,0,1,0,0,1,18,5,3,3,3,3,2,2,2,4,100,100,20,14,9,7
Malchik russkiy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Nailed It! Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,1,1,1
Reiss Aus: Zwei Menschen. Zwei Jahre. Ein Traum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Òlòturé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tughlaq Durbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,16,6,5
Three Ages,42,39,29,27,27,25,26,27,30,28,28,29,36,37,42,44,68,73,100,88,81
isPartial.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Adventures of Captain Marvel,0,0,2,1,2,2,2,2,2,2,2,2,2,2,3,5,2,2,2,2,2
The Square Ring,11,16,10,10,11,12,14,16,16,17,17,19,19,22,20,23,31,41,57,42,46
Beat the Devil,100,91,95,65,68,62,64,58,43,37,36,33,32,31,31,30,34,30,34,34,36
Sininen viikko,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
The Snow Creature,0,0,2,2,2,2,3,2,3,3,3,2,3,3,3,4,4,4,5,5,7
isPartial.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Student Prince,2,3,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1
Des Teufels General,3,3,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1
Bravissimo,42,45,52,65,73,76,72,61,86,100,100,68,43,45,36,33,23,25,21,20,20
Cela s'appelle l'aurore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delo Rumyantseva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Meet Me in Las Vegas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le mystère Picasso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nightfall,20,21,100,88,52,47,43,30,27,23,55,77,34,45,38,40,52,52,56,51,50
There's Always Tomorrow,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
Toward the Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
isPartial.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Zorro,53,93,63,100,67,74,69,67,65,63,67,67,62,62,62,64,76,72,74,73,80
Band of Angels,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Bombers B-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devushka bez adresa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragstrip Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Revenge of Frankenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ten Thousand Bedrooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77 Sunset Strip,7,7,5,4,4,3,3,3,3,2,3,2,2,4,4,4,3,2,2,2,2
Blue Peter,83,93,100,78,60,60,53,48,45,43,39,38,39,39,38,33,34,31,35,27,27
